,0
0,0.39373178813457793
1,0.3779283752065654
2,0.40122798989461556
3,0.03674536577057284
4,0.20046736015509614
5,0.38816772453589876
6,0.3997631905369407
7,0.2177760240140577
8,0.26945792045373695
9,0.3001790562115822
10,0.39174869998410533
11,0.06488059179350157
12,0.3931761076734766
13,0.3729686508809624
14,0.35832997864319177
15,0.04186223512051783
16,0.3936893709947691
17,0.16204122445486405
18,0.39520542858081814
19,0.08601087828435541
20,0.29017635028956856
21,0.38742840485138547
22,0.283597506152037
23,0.3925912568617864
24,0.27402468901756166
25,0.4023946055376482
26,0.051341659814911685
27,0.39950754712691317
28,0.4123840826785366
29,0.41170650431051775
30,0.11189269456649373
31,0.40259121514651725
32,0.37963752603643647
33,0.10752820236940265
34,0.4028952099150581
35,0.42394547096467095
36,0.34405744750094996
37,0.40486466222208156
38,0.32391864411924154
39,0.395752051662857
40,0.4102049192572459
41,0.38075842814437916
42,0.39508203581347917
43,0.3529292403519547
44,0.4055003830833999
45,0.4019035037563049
46,0.3917595368863291
47,0.35302040655099615
48,0.41088570503925864
49,0.38439233025191843
50,0.40685056339438164
51,0.38934882704950896
52,0.40742432390183836
53,0.40491173765340344
54,0.4071129145441198
55,0.4149127928809719
56,0.40520298468052096
57,0.29488132018504887
58,0.3968077615181614
59,0.40216858355426705
60,0.409923271060214
61,0.3952456328664045
62,0.39939715423284056
63,0.41389417868298317
64,0.3948236682513631
65,0.41839819389973465
66,0.3797596687150398
67,0.41588989448039654
68,0.38361838897225714
69,0.4074012445242737
70,0.39549939468337975
71,0.411275078471757
72,0.41119841405214447
73,0.3781592492324066
74,0.411570383317206
75,0.3868688888635514
76,0.4079779731591503
77,0.07624976751051983
78,0.391201311678318
79,0.39669586206417534
80,0.41213823209727035
81,0.1485424550034267
82,0.4135506768331839
83,0.40305112832587964
84,0.41240171660506614
85,0.3372844541831975
86,0.4128393133145643
87,0.4133022784256991
88,0.41047662651289674
89,0.4038307694920472
90,0.4082584745768669
91,0.36182915034546476
92,0.4038080411085908
93,0.41992668945539197
94,0.41806368682218165
95,0.4067275161168787
96,0.418229319148227
97,0.40963081683874514
98,0.37088749321238557
99,0.4049259914343306
100,0.42062930481070826
101,0.39976844427749847
102,0.4154890851256814
103,0.13511450476212353
104,0.40819167210998103
105,0.4101552726382524
106,0.41169354683628406
107,0.3794109872996373
108,0.3986269077868904
109,0.40036723643708
110,0.4157182738973127
111,0.40463614825020033
112,0.40146025369746946
113,0.37527915584290267
114,0.40909805266324484
