,0
0,0.779874213836478
1,0.7568134171907757
2,0.7693920335429769
3,0.09224318658280922
4,0.4444444444444444
5,0.7651991614255765
6,0.7693920335429769
7,0.5031446540880503
8,0.6016771488469602
9,0.6477987421383647
10,0.7589098532494759
11,0.16561844863731656
12,0.70020964360587
13,0.740041928721174
14,0.6519916142557652
15,0.13417190775681342
16,0.7379454926624738
17,0.3731656184486373
18,0.7358490566037735
19,0.23689727463312368
20,0.6477987421383647
21,0.7211740041928721
22,0.6792452830188679
23,0.7547169811320755
24,0.6477987421383647
25,0.7840670859538784
26,0.12368972746331237
27,0.7819706498951782
28,0.7651991614255765
29,0.7819706498951782
30,0.3039832285115304
31,0.779874213836478
32,0.6876310272536688
33,0.3270440251572327
34,0.790356394129979
35,0.7714884696016772
36,0.6729559748427673
37,0.7568134171907757
38,0.7023060796645703
39,0.7421383647798742
40,0.7819706498951782
41,0.7819706498951782
42,0.7651991614255765
43,0.6876310272536688
44,0.7819706498951782
45,0.7190775681341719
46,0.7819706498951782
47,0.6415094339622641
48,0.7987421383647799
49,0.6624737945492662
50,0.790356394129979
51,0.7295597484276729
52,0.7924528301886793
53,0.7672955974842768
54,0.790356394129979
55,0.7568134171907757
56,0.7882599580712788
57,0.6771488469601677
58,0.7610062893081762
59,0.740041928721174
60,0.7945492662473794
61,0.7756813417190775
62,0.7568134171907757
63,0.7693920335429769
64,0.7253668763102725
65,0.7924528301886793
66,0.6939203354297694
67,0.7924528301886793
68,0.7064989517819706
69,0.7924528301886793
70,0.7442348008385744
71,0.7756813417190775
72,0.7840670859538784
73,0.6792452830188679
74,0.7882599580712788
75,0.7232704402515723
76,0.7819706498951782
77,0.1761006289308176
78,0.7693920335429769
79,0.740041928721174
80,0.7924528301886793
81,0.32914046121593293
82,0.7924528301886793
83,0.7777777777777778
84,0.7882599580712788
85,0.7169811320754716
86,0.779874213836478
87,0.7945492662473794
88,0.7945492662473794
89,0.7966457023060797
90,0.779874213836478
91,0.7442348008385744
