,0
0,0.2183
1,0.2143
2,0.234
3,0.0139
4,0.0893
5,0.2161
6,0.2394
7,0.1397
8,0.1443
9,0.1791
10,0.239
11,0.0403
12,0.2357
13,0.1975
14,0.1886
15,0.0174
16,0.2385
17,0.0846
18,0.2381
19,0.0483
20,0.1677
21,0.2361
22,0.177
23,0.2243
24,0.1621
25,0.2395
26,0.0286
27,0.2415
28,0.2368
29,0.2411
30,0.0476
31,0.2427
32,0.2227
33,0.0614
34,0.2438
35,0.2416
36,0.1988
37,0.2392
38,0.1835
39,0.2427
40,0.2367
41,0.2195
42,0.2441
43,0.1877
44,0.2451
45,0.2157
46,0.2235
47,0.1749
48,0.2289
49,0.2165
50,0.2367
51,0.2379
52,0.2413
53,0.2364
54,0.2415
55,0.2423
56,0.2418
57,0.1698
58,0.2458
59,0.2417
60,0.2372
61,0.2312
62,0.247
63,0.2346
64,0.2438
65,0.2422
66,0.2224
67,0.2436
68,0.2338
69,0.2445
70,0.2427
71,0.2326
72,0.2432
73,0.2045
74,0.2497
75,0.2383
76,0.2404
77,0.046
78,0.2332
79,0.2393
80,0.2431
81,0.0744
82,0.2452
83,0.246
84,0.2468
85,0.221
86,0.2425
87,0.2484
88,0.2522
89,0.2465
90,0.244
91,0.2142
92,0.2504
93,0.2454
94,0.2468
95,0.2458
96,0.2499
97,0.239
98,0.2229
99,0.2401
100,0.2486
101,0.2429
102,0.2444
103,0.0633
104,0.2496
105,0.2396
106,0.2451
107,0.2264
108,0.2456
109,0.2433
110,0.2477
111,0.2388
112,0.2443
113,0.2159
114,0.2476
115,0.2364
116,0.2441
117,0.1962
118,0.247
119,0.2382
120,0.2463
121,0.1926
122,0.244
123,0.2442
124,0.2461
125,0.1937
126,0.2429
127,0.2284
128,0.2464
129,0.2025
130,0.2138
131,0.2466
132,0.2448
133,0.2364
134,0.2491
135,0.2495
136,0.2478
137,0.2405
138,0.2476
139,0.2466
140,0.2447
141,0.2099
142,0.2472
143,0.2475
144,0.2433
145,0.2391
146,0.2459
147,0.2435
148,0.2531
149,0.2391
150,0.245
151,0.242
152,0.251
153,0.2416
154,0.2465
155,0.2494
156,0.2505
157,0.2434
158,0.2496
159,0.2425
160,0.254
161,0.2456
162,0.2464
163,0.2427
164,0.2492
165,0.2494
166,0.2531
167,0.2473
168,0.2518
169,0.248
170,0.2499
171,0.25
172,0.2506
173,0.2559
174,0.2512
175,0.2528
176,0.2456
177,0.2499
178,0.2501
179,0.2457
180,0.2541
181,0.2448
182,0.2591
183,0.246
184,0.2535
185,0.2543
186,0.2513
187,0.2575
188,0.247
189,0.2585
190,0.2475
191,0.2121
192,0.2575
193,0.2449
194,0.2439
195,0.2522
196,0.255
197,0.254
198,0.254
199,0.2516
200,0.2505
201,0.2588
202,0.2501
203,0.2529
204,0.2526
205,0.2558
206,0.2505
207,0.2559
208,0.254
209,0.2545
210,0.2487
211,0.2513
212,0.2553
213,0.2535
214,0.248
215,0.252
216,0.2584
217,0.2519
218,0.2509
219,0.2485
220,0.2527
221,0.2545
222,0.2444
223,0.2479
224,0.2492
225,0.2525
226,0.248
227,0.2531
228,0.2537
229,0.2559
230,0.2466
231,0.2593
232,0.2462
233,0.2611
234,0.2539
235,0.2534
236,0.2565
237,0.2542
238,0.2532
239,0.259
240,0.2535
241,0.2602
242,0.2481
243,0.2613
244,0.2507
245,0.256
246,0.25
247,0.2592
248,0.2458
249,0.2543
250,0.2526
251,0.2586
252,0.2578
253,0.2539
254,0.2528
255,0.255
256,0.2602
257,0.2539
258,0.2557
259,0.2536
260,0.2517
261,0.256
262,0.2468
263,0.2532
264,0.2472
265,0.2558
266,0.2591
267,0.2504
268,0.263
269,0.2453
270,0.2492
271,0.2545
272,0.253
273,0.2444
274,0.2476
275,0.2562
276,0.2542
277,0.2575
278,0.2483
279,0.2579
280,0.2503
281,0.2561
282,0.2544
283,0.2509
284,0.2587
285,0.2469
286,0.2573
287,0.2519
288,0.2528
289,0.2553
290,0.2551
291,0.2444
292,0.2541
293,0.2537
294,0.2575
295,0.2516
296,0.2512
297,0.2578
298,0.2537
299,0.2514
300,0.2516
