,0
0,0.2566
1,0.2509
2,0.2686
3,0.0195
4,0.1164
5,0.2553
6,0.2692
7,0.1356
8,0.1713
9,0.2019
10,0.2656
11,0.0461
12,0.2633
13,0.2415
14,0.2113
15,0.0187
16,0.2673
17,0.0935
18,0.2677
19,0.0514
20,0.1881
21,0.2706
22,0.1832
23,0.2623
24,0.1841
25,0.2736
26,0.0285
27,0.283
28,0.2738
29,0.2753
30,0.0612
31,0.2799
32,0.2524
33,0.0656
34,0.2828
35,0.2786
36,0.2214
37,0.278
38,0.2067
39,0.2744
40,0.2767
41,0.2553
42,0.2759
43,0.2099
44,0.2832
45,0.2577
46,0.2631
47,0.2149
48,0.2744
49,0.2486
50,0.2721
51,0.2753
52,0.2811
53,0.2631
54,0.2872
55,0.2841
56,0.2792
57,0.2017
58,0.278
59,0.2755
60,0.2727
61,0.2631
62,0.2792
63,0.2692
64,0.2721
65,0.2801
66,0.2505
67,0.2763
68,0.2667
69,0.2792
70,0.2727
71,0.2614
72,0.2807
73,0.2451
74,0.278
75,0.2713
76,0.2843
77,0.0451
78,0.2644
79,0.2809
80,0.2868
81,0.0845
82,0.2839
83,0.2818
84,0.2866
85,0.2405
86,0.2851
87,0.2725
88,0.2874
89,0.2763
90,0.2855
91,0.2432
92,0.2836
93,0.2857
94,0.2899
95,0.2822
96,0.2786
97,0.2811
98,0.2468
99,0.2828
100,0.2723
101,0.2746
102,0.2832
103,0.0738
104,0.2767
105,0.2769
106,0.2795
107,0.2597
108,0.2788
109,0.2732
110,0.2836
111,0.2715
112,0.2751
113,0.2501
114,0.2751
115,0.2633
116,0.2759
117,0.2327
118,0.2893
119,0.2698
120,0.27
121,0.2252
122,0.2748
123,0.2709
124,0.2748
125,0.2312
126,0.2857
127,0.2549
128,0.283
129,0.2268
130,0.2528
131,0.2713
132,0.2757
133,0.2719
134,0.2901
135,0.2801
136,0.2822
137,0.2639
138,0.2912
139,0.273
140,0.2782
141,0.2289
142,0.2778
143,0.2795
144,0.2836
145,0.2629
146,0.2725
147,0.2792
148,0.2853
149,0.2851
150,0.2878
151,0.2824
152,0.278
153,0.2847
154,0.2826
155,0.2813
156,0.2866
157,0.2847
158,0.283
159,0.2818
160,0.2895
161,0.2771
162,0.2864
163,0.2816
164,0.2889
165,0.2876
166,0.2782
167,0.2866
168,0.2906
169,0.2809
170,0.2881
171,0.2786
172,0.2906
173,0.2832
174,0.2872
175,0.2881
176,0.2906
177,0.2828
178,0.2874
179,0.2792
180,0.2937
181,0.2891
182,0.2851
183,0.2845
184,0.2956
185,0.2839
186,0.2914
187,0.2893
188,0.2918
189,0.2878
190,0.283
191,0.2465
192,0.2912
193,0.2855
194,0.2851
195,0.2881
196,0.2876
197,0.2887
198,0.2845
199,0.291
200,0.287
201,0.2925
202,0.292
203,0.2912
204,0.2878
205,0.2891
206,0.2962
207,0.2906
208,0.287
209,0.2925
210,0.2887
211,0.2931
212,0.2816
213,0.2881
214,0.2853
215,0.286
216,0.2945
217,0.287
218,0.2908
219,0.2872
220,0.2849
221,0.2901
222,0.2836
223,0.2849
224,0.2862
225,0.2908
226,0.2885
227,0.2893
228,0.2874
229,0.2904
230,0.2843
231,0.2937
232,0.2895
233,0.2918
234,0.2876
235,0.2969
236,0.2868
237,0.2885
238,0.2872
239,0.3
240,0.2891
241,0.291
242,0.2904
243,0.2939
244,0.2948
245,0.2899
246,0.2849
247,0.2954
248,0.2797
249,0.2916
250,0.2889
251,0.2933
252,0.2954
253,0.2908
254,0.2897
255,0.2912
256,0.2943
257,0.2952
258,0.2912
259,0.2916
260,0.2874
261,0.2958
262,0.2899
263,0.2908
264,0.2914
265,0.2971
266,0.2904
267,0.2927
268,0.2901
269,0.2834
270,0.2925
271,0.2809
272,0.2805
273,0.2876
274,0.2868
275,0.2912
276,0.2862
277,0.2897
278,0.2931
279,0.2914
280,0.2916
281,0.2954
282,0.2893
283,0.2908
284,0.2912
285,0.2943
286,0.2901
287,0.2937
288,0.2887
289,0.2868
290,0.2897
291,0.2887
292,0.2895
293,0.2872
294,0.2887
295,0.2876
296,0.2843
297,0.2922
298,0.2908
299,0.2916
300,0.2866
